"","lactate control1","lactate control2","lactate treat1","lactate treat2","pregnant control1","pregnant control2","pregnant treat1","pregnant treat2","virgin control1","virgin control2","virgin treat1","virgin treat2"
"105689",4806,4049,1386,1517,5093,4694,2050,1888,4973,2794,2664,5336
"64929",0,0,0,0,0,2,0,1,5,0,1,0
"105439",1,2,108,63,16,20,282,216,35,369,389,26
"70898",0,0,0,1,0,0,1,5,0,2,4,0
"13618",191,204,9,6,472,403,14,12,151,3,26,119
"73877",0,1,0,0,1,0,0,0,0,0,0,0
"320671",0,0,0,0,0,0,1,2,0,0,0,0
"18996",0,0,3,4,2,0,5,1,0,2,3,5
"72486",44,62,14,8,64,32,17,10,55,129,125,98
"320249",0,0,0,0,0,0,0,0,0,0,0,0
"100502987",508,428,150,183,554,500,537,453,536,550,586,493
"74213",1051,1094,800,933,1354,1195,1228,1010,1269,1360,1505,1394
"76273",1347,1153,2228,2204,2586,2140,5158,4894,1656,2860,3819,1357
"71362",0,0,0,0,1,6,0,0,0,0,1,2
"74864",0,0,0,0,0,0,0,0,0,0,0,0
"380930",455,434,45,31,877,953,104,134,561,433,414,352
"24064",1872,1817,396,405,4827,3512,2534,2273,1967,3271,4073,1716
"621364",0,0,0,0,0,0,0,0,0,0,0,0
"212085",0,0,0,0,0,0,0,0,0,0,0,0
"73631",0,0,0,0,0,0,0,0,0,0,0,0
"100043809",0,0,0,0,0,0,0,0,0,0,0,0
"668736",0,0,0,0,0,0,0,0,0,0,0,0
"668738",0,0,0,0,0,0,0,0,0,0,0,0
"668739",0,0,0,0,0,0,0,0,0,0,0,0
"621487",0,0,0,0,0,0,0,0,0,0,0,0
"668743",0,0,0,0,0,0,0,0,0,0,0,0
"100043811",0,0,0,0,0,0,0,0,0,0,0,0
"621499",0,0,0,0,0,0,0,0,0,0,0,0
"100043814",0,0,0,0,0,0,0,0,0,0,0,0
"668742",0,0,0,0,0,0,0,0,0,0,0,0
"76965",0,0,0,0,2,0,0,0,1,1,0,1
"239250",13,14,0,1,10,11,0,0,5,2,1,2
"622052",0,0,0,0,0,0,0,0,0,0,0,0
"75409",0,0,1,4,1,1,0,0,0,0,0,0
"192885",1,0,0,0,0,0,0,0,0,0,0,0
"75822",0,0,0,0,0,0,0,0,0,0,0,0
"723905",1,2,0,2,4,2,4,0,2,2,6,1
"387135",3,0,2,0,2,3,3,5,5,5,4,1
"723891",0,0,1,0,1,1,2,4,2,1,3,3
"387139",2,0,0,0,2,1,2,4,2,1,3,4
"751527",0,0,1,0,0,0,2,0,3,2,0,2
"75957",183,185,91,99,410,314,306,235,307,261,296,447
"751549",0,0,0,0,0,0,0,0,0,0,0,0
"103978",0,0,0,0,0,0,0,0,0,0,0,2
