"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","GO:0001667","ameboidal-type cell migration","238/5862","470/28905",0.506382978723404,2.49692937563971,16.5027376324269,2.7432346144692e-49,1.76554579787238e-45,7.03711868995942e-46,"101401/101540/104831/105450/105844/107351/108655/109880/11350/11426/114715/11475/11477/114886/11501/11600/11606/11651/11684/11745/11816/11819/11826/11852/11855/11946/11947/12159/12162/12168/12215/12261/12331/12512/12554/12558/12562/12631/12752/12767/12822/13036/13078/13179/13197/13482/13614/13617/13618/13641/13642/13645/13655/13731/13829/13836/13846/14119/14164/14178/14182/14268/14275/14314/14389/14673/14756/14775/14824/15117/15185/15200/15289/15370/15507/15586/15587/16000/16002/16202/16398/16400/16410/16412/16416/16480/16542/16590/16600/16666/16776/16819/16973/17260/17311/17886/18024/18133/18187/18188/18214/18481/18591/18613/18643/18645/18709/18750/18754/18760/18810/18858/19016/19130/19141/192197/19225/19229/19247/19270/19274/192897/19303/19876/19877/19878/20130/20317/20348/20350/20351/20354/20356/20358/20360/20361/20397/20401/20541/20563/20583/20613/20681/20684/20692/20778/20807/20850/21333/214968/216190/216560/21687/21754/21814/21825/21857/218877/21926/21961/21983/22122/22341/22411/226352/230738/231858/232227/234779/235041/23790/23797/23871/23938/23991/240185/24136/241639/242687/243362/245827/26365/263803/26397/26921/26941/269608/319757/320736/320795/338366/381290/384783/52014/53868/54132/54357/54485/56048/56233/56332/58233/60595/63953/64074/67338/67784/67903/67916/68328/68465/68585/68606/68743/68750/68992/69216/69601/70097/70445/71371/71709/72446/72993/73139/73608/74144/74769/75723/76441/76707/76905/78560/79264/80837/83409/93759/94352",238
"GO:0007015","GO:0007015","actin filament organization","230/5862","477/28905",0.482180293501048,2.37758809001157,15.301633193557,4.2878391049356e-43,1.37982662396828e-39,5.49971784143582e-40,"101497/102774/102866/104027/104215/107351/108100/108686/108897/109624/109711/109880/110380/11350/11352/114229/11459/114774/11518/11567/118449/11852/11853/11854/11856/11867/12043/12331/12332/12333/12345/12488/12631/12632/12797/12798/12808/12985/13043/13609/13717/13731/13800/13829/13835/13860/140579/140580/14063/14086/14107/14219/14248/14453/14457/14609/14745/15163/15185/15894/16765/16800/170643/170758/170826/17118/171580/17357/17886/17910/17912/17918/17919/17974/18016/18457/18481/18613/18643/18645/18693/18706/18709/18754/18761/18810/18826/18829/19062/19130/19201/192176/19229/19240/19261/19303/19720/19736/19878/20194/20259/20312/20356/20401/20411/20563/207278/20740/20741/20742/20807/208177/208943/211401/21333/21346/213556/215114/217125/21754/218194/218952/22003/22004/22041/22240/22323/22351/223601/223881/22411/225115/225288/227753/22793/228543/229474/231637/232906/233977/234094/235041/235431/237436/23790/238021/23912/24088/24136/242553/242687/243725/260409/26401/268396/268747/268970/269233/27361/27428/277360/30794/30948/319262/326618/329165/330319/385354/404710/434204/442801/50490/50768/50873/50874/50875/50876/50918/52428/53318/54004/54132/544963/56226/56320/56419/56431/56441/56443/58194/58234/60595/623781/63873/63985/65970/66196/666244/66713/66898/66938/68166/68606/69288/69524/69581/69693/69710/70420/70435/71653/71774/71890/71994/72042/72114/73121/73205/74103/74192/74194/76260/76441/76707/76820/76932/77579/78926/80837/93689",230
"GO:0090132","GO:0090132","epithelium migration","179/5862","331/28905",0.540785498489426,2.66656513712672,15.3809493029007,2.11690023617309e-42,4.54145664000333e-39,1.81013539493116e-39,"101401/101540/104831/105450/105844/107351/108655/11350/11426/114715/11501/11600/11606/11651/11684/11745/11816/11819/11826/11852/11855/11946/11947/12159/12168/12215/12512/12554/12562/12752/12767/12822/13036/13078/13179/13197/13482/13642/13645/13655/13731/13836/13846/14164/14178/14182/14314/14389/14756/14775/14824/15117/15185/15200/15289/15370/15507/15586/16000/16002/16398/16400/16410/16412/16416/16480/16542/16590/16600/16666/16819/17260/17311/17886/18024/18133/18591/18613/18643/18645/18709/18750/18754/18760/19016/19130/19141/192197/19225/19229/19247/19270/19274/19303/19876/19877/19878/20130/20317/20351/20356/20401/20563/20583/20613/20684/20692/20778/20807/20850/21333/216560/21687/21754/21814/21825/21926/22122/22341/226352/230738/232227/234779/235041/23790/23797/23871/23938/23991/240185/24136/241639/243362/245827/252973/26365/263803/26397/26921/269608/320736/320795/338366/381290/384783/52014/53868/54357/54485/56048/56233/58233/60595/63953/64074/67784/67903/67916/68328/68585/68606/68743/68750/68992/69216/69601/70097/73608/74144/74769/75723/76441/76707/76905/78560/79264/80837/93759/94352",179
"GO:0010631","GO:0010631","epithelial cell migration","178/5862","329/28905",0.541033434650456,2.66778768825852,15.3451226961493,3.30826486109744e-42,5.32299816150578e-39,2.12164249118275e-39,"101401/101540/104831/105450/105844/107351/108655/11350/11426/114715/11501/11600/11606/11651/11684/11745/11816/11819/11826/11852/11855/11946/11947/12159/12168/12215/12512/12554/12562/12752/12767/12822/13036/13078/13179/13197/13482/13642/13645/13655/13731/13836/13846/14164/14178/14182/14314/14389/14756/14775/14824/15117/15185/15200/15289/15370/15507/15586/16000/16002/16398/16400/16410/16412/16416/16480/16542/16590/16600/16666/16819/17260/17311/17886/18024/18133/18591/18613/18643/18645/18709/18750/18754/18760/19016/19130/19141/192197/19225/19229/19247/19270/19274/19303/19876/19877/19878/20130/20317/20351/20356/20401/20563/20583/20613/20684/20692/20778/20807/20850/21333/216560/21687/21754/21814/21825/21926/22122/22341/226352/230738/232227/234779/235041/23790/23797/23871/23938/23991/240185/24136/241639/243362/245827/26365/263803/26397/26921/269608/320736/320795/338366/381290/384783/52014/53868/54357/54485/56048/56233/58233/60595/63953/64074/67784/67903/67916/68328/68585/68606/68743/68750/68992/69216/69601/70097/73608/74144/74769/75723/76441/76707/76905/78560/79264/80837/93759/94352",178
"GO:0090130","GO:0090130","tissue migration","179/5862","333/28905",0.537537537537538,2.65054973089774,15.279628020489,6.39694961083022e-42,8.23415353906066e-39,3.28197183191437e-39,"101401/101540/104831/105450/105844/107351/108655/11350/11426/114715/11501/11600/11606/11651/11684/11745/11816/11819/11826/11852/11855/11946/11947/12159/12168/12215/12512/12554/12562/12752/12767/12822/13036/13078/13179/13197/13482/13642/13645/13655/13731/13836/13846/14164/14178/14182/14314/14389/14756/14775/14824/15117/15185/15200/15289/15370/15507/15586/16000/16002/16398/16400/16410/16412/16416/16480/16542/16590/16600/16666/16819/17260/17311/17886/18024/18133/18591/18613/18643/18645/18709/18750/18754/18760/19016/19130/19141/192197/19225/19229/19247/19270/19274/19303/19876/19877/19878/20130/20317/20351/20356/20401/20563/20583/20613/20684/20692/20778/20807/20850/21333/216560/21687/21754/21814/21825/21926/22122/22341/226352/230738/232227/234779/235041/23790/23797/23871/23938/23991/240185/24136/241639/243362/245827/252973/26365/263803/26397/26921/269608/320736/320795/338366/381290/384783/52014/53868/54357/54485/56048/56233/58233/60595/63953/64074/67784/67903/67916/68328/68585/68606/68743/68750/68992/69216/69601/70097/73608/74144/74769/75723/76441/76707/76905/78560/79264/80837/93759/94352",179
"GO:0019693","GO:0019693","ribose phosphate metabolic process","219/5862","474/28905",0.462025316455696,2.27820569296348,14.1522737978799,1.75251276779811e-37,1.87986202892477e-34,7.49276072828769e-35,"100705/102247/102954/104110/104111/104112/104215/105787/106564/107476/108079/110095/110119/110446/110935/110959/11486/11512/11515/11564/11636/11637/11639/11666/11676/11717/11820/11931/11941/11946/11947/11949/11950/11951/11957/11958/11966/12298/12495/12499/12628/12833/12974/13350/13382/13806/13808/13836/14081/14104/14380/14381/14544/14555/14732/15254/15277/15356/16000/16548/16889/171210/171282/17705/17706/17721/17722/17850/17869/17991/17993/17995/18102/18103/18160/18457/18585/18597/18604/18605/18639/18640/18641/18648/18655/19017/19193/192156/19335/19883/207728/208727/20917/209558/209692/211347/21351/21428/214917/216805/217698/217700/21881/21991/22040/22247/22436/227197/227731/228026/228033/228859/229665/230075/230103/231327/235339/235344/236900/237823/23917/23959/23972/242202/26897/270076/270166/27273/27402/28080/330450/331623/407785/432530/433182/50773/50790/50799/50873/51797/53893/54195/54369/54391/54403/54405/55951/56248/56312/56421/56451/56490/56690/56749/57423/58242/58805/60525/60596/64451/66043/66046/66091/66108/66114/66218/66355/66377/66401/66414/66437/66454/66588/66646/66725/66885/66916/66925/66945/67059/67126/67153/67264/67273/67464/67763/67800/68073/68194/68197/68202/68263/68342/68603/68738/69719/70025/70316/70456/71147/71743/71832/72141/72269/72900/73132/74114/74147/74246/74637/75406/75533/75735/78038/78330/80914/83429/93685/99586",219
"GO:0009259","GO:0009259","ribonucleotide metabolic process","211/5862","460/28905",0.458695652173913,2.2617874148903,13.7592420145494,1.39167739713209e-35,1.27954796113459e-32,5.10002679219684e-33,"100705/102247/102954/104110/104111/104112/104215/105787/106564/107476/108079/110119/110446/110935/110959/11486/11512/11515/11564/11636/11637/11639/11666/11676/11717/11820/11931/11941/11946/11947/11949/11950/11951/11957/11958/11966/12298/12495/12499/12628/12833/12974/13350/13382/13806/13808/13836/14081/14104/14544/14555/14732/15254/15277/15356/16000/16548/16889/171210/171282/17705/17706/17721/17722/17850/17869/17991/17993/17995/18102/18103/18160/18457/18585/18597/18604/18605/18639/18640/18641/18648/18655/19017/19193/192156/19335/19883/207728/208727/20917/209558/209692/211347/21428/214917/216805/217698/217700/21991/22040/22247/22436/227197/227731/228026/228033/228859/229665/230075/230103/231327/235339/235344/236900/237823/23917/23959/23972/242202/26897/270076/270166/27273/27402/28080/330450/331623/407785/432530/433182/50773/50790/50799/50873/51797/53893/54195/54369/54391/54403/54405/55951/56248/56312/56421/56451/56490/56690/56749/57423/58242/58805/60525/60596/64451/66043/66046/66091/66108/66114/66218/66355/66377/66401/66414/66437/66454/66588/66725/66885/66916/66925/66945/67059/67126/67153/67264/67273/67464/67800/68073/68194/68197/68202/68263/68342/68603/68738/69719/70025/70316/70456/71147/71743/71832/72141/72269/72900/73132/74114/74147/74246/75406/75533/75735/78038/78330/80914/83429/93685/99586",211
"GO:0031589","GO:0031589","cell-substrate adhesion","180/5862","369/28905",0.48780487804878,2.40532241555783,13.7032941377474,8.56134991347304e-35,6.88760600538906e-32,2.74526443935971e-32,"101401/104099/105298/107351/107581/109648/109700/109711/109880/110253/110829/11350/114249/11426/11490/11501/11600/11606/11815/11854/11856/12043/12053/12125/12182/12261/12305/12306/12490/12491/12512/12552/12554/12571/12587/12631/13043/13132/13138/13640/13731/13829/13835/13845/140474/14114/14219/14268/14369/14456/14538/14726/15117/16202/16398/16399/16400/16402/16404/16407/16410/16412/16416/16449/16475/16480/16542/16776/16777/16779/16780/16852/16971/170758/17118/17130/17242/17387/17886/18003/18453/18552/18591/18613/18754/18792/18829/192176/19229/19242/19247/19261/19283/192897/19303/19324/195209/19877/20130/20163/20194/20300/20411/20440/20750/20807/208177/208777/216560/21687/21754/21825/21838/21844/218952/22122/22174/22288/22329/22330/22371/225341/226352/226519/22793/231858/235431/23790/239337/23991/24066/240675/241226/241639/242409/244667/244895/245555/245827/246190/26362/26921/27279/277360/30963/320910/381293/407800/434204/50706/50768/50918/50932/53867/54156/56013/56229/56320/56348/56838/57278/57342/57373/57764/57776/58859/60595/64074/67451/67811/68606/68750/69538/69697/74769/76509/76707/77057/94214/99571",180
"GO:0030198","GO:0030198","extracellular matrix organization","164/5862","327/28905",0.501529051987768,2.47299509513927,13.5111287510223,1.18205209077889e-33,8.45298584028105e-31,3.36919408798615e-31,"101401/104009/107581/108075/11350/11352/114249/11504/11568/11606/11785/11787/11804/11820/118453/12006/12305/12306/12389/12406/12587/12633/12814/12815/12818/12819/12821/12822/12826/12827/12830/12831/12832/12833/12836/12839/12840/12841/13010/13078/13138/13482/13717/13805/13871/14086/14114/14186/14219/14230/14251/14268/14453/14580/14595/14726/15117/15118/15530/15932/16193/16412/16416/16578/16772/16777/16779/16780/16917/16949/16950/170441/170721/17181/17183/17385/17387/17389/17390/17391/17527/17880/18214/18451/18826/18858/19016/19288/195209/20289/20319/20356/20724/20732/208177/208936/214685/216725/21814/21846/219151/21926/224224/224697/226519/229534/229595/233332/235130/237759/23871/23876/239337/23948/240047/240725/240913/241226/241327/241639/246228/26427/26433/26561/268396/269120/30806/319742/329941/338366/373864/399558/407800/50706/52076/53381/53614/53867/54156/545370/56348/56693/57764/58859/64074/66180/66191/67475/67547/67573/69538/69675/70575/70779/71890/71893/71914/72043/74025/76707/77739/94214/94216/94352",164
"GO:0045229","GO:0045229","external encapsulating structure organization","164/5862","328/28905",0.5,2.46545547594678,13.4627445071235,1.89653017322795e-33,1.22060681948951e-30,4.86509898121737e-31,"101401/104009/107581/108075/11350/11352/114249/11504/11568/11606/11785/11787/11804/11820/118453/12006/12305/12306/12389/12406/12587/12633/12814/12815/12818/12819/12821/12822/12826/12827/12830/12831/12832/12833/12836/12839/12840/12841/13010/13078/13138/13482/13717/13805/13871/14086/14114/14186/14219/14230/14251/14268/14453/14580/14595/14726/15117/15118/15530/15932/16193/16412/16416/16578/16772/16777/16779/16780/16917/16949/16950/170441/170721/17181/17183/17385/17387/17389/17390/17391/17527/17880/18214/18451/18826/18858/19016/19288/195209/20289/20319/20356/20724/20732/208177/208936/214685/216725/21814/21846/219151/21926/224224/224697/226519/229534/229595/233332/235130/237759/23871/23876/239337/23948/240047/240725/240913/241226/241327/241639/246228/26427/26433/26561/268396/269120/30806/319742/329941/338366/373864/399558/407800/50706/52076/53381/53614/53867/54156/545370/56348/56693/57764/58859/64074/66180/66191/67475/67547/67573/69538/69675/70575/70779/71890/71893/71914/72043/74025/76707/77739/94214/94216/94352",164
"GO:0043062","GO:0043062","extracellular structure organization","164/5862","329/28905",0.498480243161094,2.4579616903056,13.4145378224886,3.03363162435468e-33,1.77495028494061e-30,7.0746031278013e-31,"101401/104009/107581/108075/11350/11352/114249/11504/11568/11606/11785/11787/11804/11820/118453/12006/12305/12306/12389/12406/12587/12633/12814/12815/12818/12819/12821/12822/12826/12827/12830/12831/12832/12833/12836/12839/12840/12841/13010/13078/13138/13482/13717/13805/13871/14086/14114/14186/14219/14230/14251/14268/14453/14580/14595/14726/15117/15118/15530/15932/16193/16412/16416/16578/16772/16777/16779/16780/16917/16949/16950/170441/170721/17181/17183/17385/17387/17389/17390/17391/17527/17880/18214/18451/18826/18858/19016/19288/195209/20289/20319/20356/20724/20732/208177/208936/214685/216725/21814/21846/219151/21926/224224/224697/226519/229534/229595/233332/235130/237759/23871/23876/239337/23948/240047/240725/240913/241226/241327/241639/246228/26427/26433/26561/268396/269120/30806/319742/329941/338366/373864/399558/407800/50706/52076/53381/53614/53867/54156/545370/56348/56693/57764/58859/64074/66180/66191/67475/67547/67573/69538/69675/70575/70779/71890/71893/71914/72043/74025/76707/77739/94214/94216/94352",164
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","200/5862","441/28905",0.453514739229025,2.23624079450955,13.1949203045053,6.00208005962783e-33,3.21911560531373e-30,1.28307623730816e-30,"100705/102247/102954/104110/104111/104112/104215/105787/106564/107476/108079/110119/110446/110935/110959/11486/11512/11515/11564/11636/11637/11639/11666/11676/11717/11820/11931/11941/11946/11947/11949/11950/11951/11957/11958/11966/12298/12495/12628/12833/12974/13350/13382/13806/13808/13836/14081/14104/14544/14555/14732/15254/15277/15356/16000/16548/16889/171210/171282/17705/17706/17721/17722/17850/17869/17991/17993/17995/18102/18103/18160/18457/18585/18597/18604/18605/18639/18640/18641/18648/18655/19017/19193/192156/19335/19883/207728/208727/20917/209558/209692/211347/21428/214917/216805/217698/217700/21991/22040/22436/227197/227731/228026/228033/228859/229665/230075/230103/231327/235339/235344/236900/237823/23917/23959/23972/242202/26897/270076/270166/27273/27402/28080/330450/331623/407785/432530/433182/50773/50790/50799/50873/53893/54195/54369/54403/54405/55951/56248/56312/56421/56451/56490/56690/57423/58242/58805/60525/60596/64451/66043/66046/66091/66108/66114/66218/66355/66377/66401/66414/66437/66454/66725/66885/66916/66925/66945/67059/67126/67264/67273/67464/67800/68073/68194/68197/68202/68263/68342/68603/68738/70025/70316/70456/71147/71743/71832/72141/72900/73132/74114/74147/74246/75406/75533/75735/78038/78330/83429/93685",200
"GO:1902903","GO:1902903","regulation of supramolecular fiber organization","186/5862","398/28905",0.467336683417085,2.30439557048292,13.2162262547359,8.23186292697825e-33,4.07540536907938e-30,1.62437651441668e-30,"100732/101497/102774/104027/105439/107351/108100/108686/109880/110380/11350/114229/11518/11567/11568/11816/11820/118449/11853/11856/12332/12333/12345/12389/12562/12576/12631/12632/12759/12833/12955/12985/13043/13589/13609/13614/13717/13829/13835/13860/14063/140810/14159/14168/14219/14248/14544/14609/14745/15163/15185/15530/15894/16765/16800/170643/170835/17260/17318/17756/17762/17886/17974/18016/18481/18613/18643/18645/18693/18706/18709/18754/18760/18761/18829/19062/19130/192176/19229/19240/19303/19720/19736/19878/20194/20259/20312/20356/20393/20401/20563/207278/20740/20741/20742/208177/211401/21333/213556/214444/214685/21754/218952/22003/22323/22327/22351/223601/22411/225115/225288/227753/231637/232906/233977/234094/235041/235431/23805/23991/24088/242553/242687/243725/246103/260315/260409/26401/268396/268747/268970/26903/270058/277360/29877/30794/30948/319262/329165/385354/434204/442801/50490/50768/50873/50874/50875/50876/50918/52428/54126/56320/56419/56431/56441/56742/58234/58859/623781/63873/63985/65970/666244/66898/67199/67886/68041/68606/69524/69697/69710/70420/72042/72119/73205/74192/75786/75991/76260/76441/76707/76820/76932/78926/83679/93689",186
"GO:0032970","GO:0032970","regulation of actin filament-based process","189/5862","409/28905",0.462102689486553,2.27858721248871,13.1350711912812,1.61864918543351e-32,7.44116154103576e-30,2.96590080067779e-30,"101497/102774/104027/107351/108100/108686/109620/109676/109880/110380/11350/114229/11475/11518/11539/11567/118449/11853/11854/11856/11928/11938/12182/12288/12332/12333/12345/12389/12488/12569/12614/12631/12632/12798/12985/13043/13605/13609/13614/13640/13717/13829/13835/13860/14063/14086/14168/14191/14219/14248/14609/14726/14745/15162/15163/15894/16202/16416/16480/16518/16765/16971/170643/170758/17260/17886/17974/18003/18016/18481/18484/18578/18596/18613/18643/18645/18693/18706/18709/18754/18760/18761/18829/19062/19130/192176/192197/19229/19240/19303/19720/19736/19877/19878/20194/20259/20271/20301/20312/20356/20401/20563/207278/20740/20741/20742/208177/211401/21333/213556/213649/216831/21754/218952/22003/22323/22351/223601/223881/22411/225115/225288/227753/231637/232906/233977/234094/235041/235431/238161/238871/23912/24088/24136/242553/242687/243725/260409/26401/268396/268747/268970/277360/30794/30948/319262/319710/329165/385354/432995/434204/442801/50490/50768/50873/50874/50875/50876/50918/52428/544963/56320/56431/56441/58234/623781/63985/65970/666244/66898/67451/68606/69524/69550/69710/70420/72042/73205/74192/74194/76260/76441/76707/76820/76932/93689/93742/93840/93897",189
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","198/5862","439/28905",0.451025056947608,2.22396439288137,13.0337741932717,3.12360879018058e-32,1.34023641157348e-29,5.34191903275094e-30,"104215/105445/105841/107351/107746/108100/108686/109905/110351/110596/11303/11350/11352/11549/11603/11816/11852/11853/11854/11855/12053/12175/12402/12488/12549/12554/12558/12614/13617/13844/13860/140580/14063/14065/14235/14251/14272/14570/14673/14726/14745/14766/16000/16400/16410/16412/16443/16706/16765/16800/16889/170758/17311/18032/18049/18208/18220/18226/18596/18613/18802/19053/19157/19328/19338/193385/19341/19395/19414/19415/194231/19699/19730/19731/19876/19877/19878/20163/20166/20354/20401/20469/20563/20663/210293/211255/211323/214804/216344/21648/216805/216831/21687/217692/217944/21844/21858/223601/223881/22630/226751/228357/228359/228543/228998/229541/231134/231532/232227/232906/234353/235041/235611/236915/236920/23912/24001/240057/24063/24064/24066/241308/242687/243362/245666/260299/260409/26431/268970/26921/26934/269608/27261/29815/319899/319974/320127/320271/320404/329165/330171/330914/380711/381293/385354/404710/50768/53322/54126/54153/56041/56297/56350/56508/57257/57874/57912/623781/65079/66725/67168/67169/67299/67425/67657/68339/68585/69159/69288/69581/69601/69632/69903/71085/71544/71653/71709/72536/73167/73728/74012/74194/74754/74769/75687/75974/75985/76088/77407/77446/78255/80837/83945/93840/98845/99167/99326/99371",198
"GO:0034329","GO:0034329","cell junction assembly","212/5862","487/28905",0.435318275154004,2.14651565051629,12.8700455658374,9.62624516264251e-32,3.68539137193941e-29,1.4689245973989e-29,"105827/106347/107581/107746/109711/109905/110829/11350/11421/11426/11603/11606/11815/11820/11853/11854/11856/12043/12064/12286/12385/12389/12552/12554/12557/12558/12560/12562/12631/12737/12739/12740/12741/12821/13043/13385/13518/13605/13631/13640/13641/13642/13643/13823/13829/13836/13841/13844/13845/14086/14168/14251/14268/14362/14609/14615/14619/14623/14735/15898/16398/16402/16410/16412/16416/16475/16480/16523/16542/16774/16971/17131/17260/17387/17475/17762/17886/18164/18208/18212/18213/18223/18260/18430/18591/18613/18750/18755/18810/18858/19229/19247/19249/19280/192897/19303/19329/19699/19876/19877/19878/20194/20320/20351/20354/20401/20411/20563/20583/20613/20743/20807/208177/208643/210274/211323/216560/216805/216856/21687/217692/21838/218518/21894/218952/219228/21926/21961/21983/22330/22411/224912/225875/226352/226422/226519/227937/228357/230775/233067/235431/235611/236915/23790/23796/24088/241638/243725/244895/245450/252973/260305/26364/269116/26921/270163/27083/319387/320844/328133/329165/330222/330814/353310/399558/434204/442801/50768/50791/53624/53885/54419/54420/56013/56229/56233/56460/58187/58234/58235/60363/60595/63873/65945/66220/67299/67451/67703/67784/67811/68328/68606/69137/69524/69693/69697/70237/70620/70737/71228/71436/73061/73340/73608/73728/74318/76707/77057/77090/77596/93742/93887",212
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","141/5862","269/28905",0.524163568773234,2.58460388184755,13.1696141217934,9.73456390972188e-32,3.68539137193941e-29,1.4689245973989e-29,"100705/104110/104111/104112/106564/110446/11486/11512/11515/11564/11636/11637/11639/11717/11946/11947/11949/11950/11951/11957/11958/12495/13178/13382/13806/14081/14381/14913/16889/17705/17706/17721/17722/17850/17869/17991/17993/17995/18102/18103/18160/18597/18604/19017/192185/20133/20135/20425/211347/214917/216805/218756/21877/21915/22169/22171/22247/223646/225994/227197/228026/228033/229665/230075/230103/231327/235339/236900/237823/23917/23962/23972/269951/270076/27273/27369/27402/28080/319945/320685/353172/407785/432530/433182/50790/50799/50873/51797/52710/54195/54369/54391/54405/55951/56248/56690/56749/57423/60525/60596/64451/66043/66046/66091/66108/66114/66218/66355/66377/66401/66414/66454/66588/66916/66925/66945/67126/67264/67273/67763/68073/68194/68197/68202/68263/68342/68738/69698/69719/70025/70316/70456/71743/72269/72900/73132/75406/75533/75735/78330/80914",141
"GO:0009165","GO:0009165","nucleotide biosynthetic process","140/5862","267/28905",0.524344569288389,2.58549637927003,13.1274965948695,1.52390448462032e-31,5.44880514612022e-29,2.17178668363727e-29,"100705/104110/104111/104112/106564/110446/11486/11512/11515/11564/11636/11637/11717/11946/11947/11949/11950/11951/11957/11958/12495/13178/13382/13806/14081/14381/14913/16889/17705/17706/17721/17722/17850/17869/17991/17993/17995/18102/18103/18160/18597/18604/19017/192185/20133/20135/20425/211347/214917/216805/218756/21877/21915/22169/22171/22247/223646/225994/227197/228026/228033/229665/230075/230103/231327/235339/236900/237823/23917/23962/23972/269951/270076/27273/27369/27402/28080/319945/320685/353172/407785/432530/433182/50790/50799/50873/51797/52710/54195/54369/54391/54405/55951/56248/56690/56749/57423/60525/60596/64451/66043/66046/66091/66108/66114/66218/66355/66377/66401/66414/66454/66588/66916/66925/66945/67126/67264/67273/67763/68073/68194/68197/68202/68263/68342/68738/69698/69719/70025/70316/70456/71743/72269/72900/73132/75406/75533/75735/78330/80914",140
"GO:0010639","GO:0010639","negative regulation of organelle organization","180/5862","390/28905",0.461538461538462,2.2758050547201,12.7941755511661,6.03686745919696e-31,2.0449094193364e-28,8.15060720114294e-29,"100502766/101185/102774/105675/107351/107995/108689/109242/110380/11518/11567/11651/11739/11740/11799/11856/11920/12159/12162/12235/12236/12332/12333/12345/12449/12562/12631/12649/13589/13609/13829/13860/13982/140810/14168/14183/14184/14248/14745/14775/14841/15185/16000/16319/16765/16800/16878/16886/16905/170835/17216/17318/17756/17758/17762/18613/18643/18645/18693/18706/18817/19016/19017/19062/19240/20112/20259/20333/20393/20563/20740/20741/20742/208084/208177/208628/20877/210789/213027/213556/214444/216805/216810/216869/21754/21973/22003/22042/22059/22137/22351/223601/225020/225115/225288/22601/227753/229841/231637/233977/235041/235431/23805/23991/24088/242553/242687/243725/245886/246103/260315/26401/268697/268970/26903/269400/26951/28113/29877/329795/385354/434175/50768/50873/50874/50875/50876/50918/51800/52184/52276/52428/54126/54369/56150/56226/56312/56320/56419/58234/63985/65970/66442/66591/666244/66725/66977/67052/67141/67588/67629/67846/67886/68014/68041/68943/69076/69697/69710/69716/70123/70385/70420/71943/72119/74335/74694/74729/74919/75430/75712/76464/76707/76983/78246/78926/79456/93689/93734/98956",180
"GO:0043542","GO:0043542","endothelial cell migration","126/5862","232/28905",0.543103448275862,2.6779947411146,12.942864123928,1.79381194877518e-30,5.77248685115853e-28,2.30079985219216e-28,"101401/101540/105450/105844/108655/11350/114715/11501/11600/11606/11651/11684/11745/11816/11819/11852/11946/11947/12159/12215/12554/12562/12752/12767/12822/13078/13179/13197/13482/13642/13645/13655/13731/13836/13846/14164/14182/14314/14756/14775/14824/15289/15370/15507/16000/16002/16410/16412/16416/16480/16542/16600/16819/17260/17886/18024/18133/18591/18613/18709/18750/18760/19016/19130/19141/192197/19225/19229/19274/19303/19876/19878/20130/20317/20351/20356/20401/20563/20583/20684/20692/20778/20807/20850/21687/21814/21825/21926/22122/22341/230738/23797/23871/23938/23991/240185/24136/243362/26365/26397/269608/320736/338366/381290/52014/54485/56048/56233/58233/64074/67784/67903/67916/68328/68992/69216/69601/70097/74144/74769/75723/78560/79264/80837/93759/94352",126
"GO:0031346","GO:0031346","positive regulation of cell projection organization","203/5862","467/28905",0.434689507494647,2.14341525317857,12.5645016635107,2.41872712137969e-30,7.41282273961889e-28,2.9546055111791e-28,"102774/103199/103742/104215/107746/107765/108100/108672/108686/109880/109905/11350/11352/11426/11504/11567/11603/11606/11785/11816/11826/12064/12159/12162/12168/12305/12631/12633/12801/12805/12808/12904/13385/13631/13640/13803/13838/13844/13860/14025/140571/14063/140810/14086/14159/14182/14226/14265/14268/14348/14360/14362/14824/15114/15507/16001/16193/16202/16398/16400/16412/16438/16570/16590/16819/16878/16971/16975/17005/17118/17242/17427/17760/17762/17919/18003/18010/18011/18024/18049/18080/18102/18103/18208/18212/18213/18214/18223/18481/18483/18546/18643/18760/18761/18829/18844/18845/18846/192176/192212/19229/19242/19283/19317/193385/19385/19699/19735/19876/20266/20311/20312/20317/20320/20354/20356/20361/20393/20698/20713/20807/208727/211323/213084/214459/216166/216344/21648/217715/21844/22240/22359/22368/224617/227541/228550/230872/232560/232906/233489/234593/234776/235072/235442/235611/23790/23854/24001/24136/242687/243725/243743/244058/244667/245886/260409/26396/26564/27083/27279/319974/329165/329795/330914/353047/380713/382253/385354/50791/52163/52513/52906/54198/55978/56226/56320/56455/59041/623781/66515/66573/66713/67425/67784/67998/68743/68750/69601/69710/70237/70300/70620/71461/71653/71751/71951/72844/74053/75974/83431/93759/98733/98845",203
