"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007093","GO:0007093","mitotic cell cycle checkpoint signaling","78/5862","152/28905",0.513157894736842,2.53033588320853,9.54111971058078,1.68192083257063e-17,7.88415827497136e-16,3.14247059567976e-16,"100683/107995/11799/11920/12021/12144/12189/12235/12236/12443/12534/12575/12649/13924/14841/16319/17246/17829/18392/18817/19367/193838/19891/20460/208628/20877/210766/211651/214444/22040/22059/22137/225182/227331/229841/234736/235559/23834/26427/268465/268697/26951/269582/270669/330177/381979/434175/52040/52276/52679/54601/56150/56190/60364/65964/66209/66442/66591/66977/67052/67629/67941/68014/68067/68077/69716/70385/71007/71375/72008/72772/74335/74729/75430/76464/76843/77011/80280",78
"GO:0048659","GO:0048659","smooth muscle cell proliferation","95/5862","203/28905",0.467980295566502,2.30756916467925,9.42950685878556,1.69051249525489e-17,7.88415827497136e-16,3.14247059567976e-16,"100689/108655/110355/11504/11606/11651/11684/11815/11816/12159/12168/12389/12554/12575/12576/12797/13057/13433/13609/13614/13617/13649/13653/13874/13982/14183/14254/14375/14673/14678/14682/14739/15200/16000/16001/16009/16011/16168/16179/16193/16194/16202/16398/16416/16534/16600/17246/17260/17390/17869/18124/18131/18133/18160/18162/18214/18295/18392/18569/18591/18596/18605/18673/18706/18750/19016/19017/19091/19204/19225/19737/20312/20656/20851/208727/211770/21752/21825/21859/21898/21926/21929/22003/22034/22059/234593/238871/239273/29811/30878/58859/60611/67087/67811/71785",95
"GO:0051258","GO:0051258","protein polymerization","121/5862","287/28905",0.421602787456446,2.07888580201784,9.26465300380746,2.23393359512446e-17,1.03435946893676e-15,4.12275363219864e-16,"100732/101497/102774/103733/103768/105439/107351/108100/110308/11350/11518/11567/11854/12332/12333/12345/12389/12488/12562/12576/12631/12808/12985/13043/13589/13717/13829/13860/14159/14168/14248/14457/14544/15163/15894/16765/170643/170835/17756/17758/17762/17974/18080/18481/18613/18643/18645/18709/18754/18829/19201/19229/19240/20259/20393/20563/207278/20740/20741/20742/211401/214444/22003/22142/22323/22351/223601/225115/225288/227753/229474/231637/235041/24088/242553/243725/260315/260409/26401/268970/27361/277360/29877/30948/319262/50873/50874/50875/50876/50918/54004/54126/56320/56419/56742/623781/63873/666244/66898/67141/67886/67971/68041/68166/68612/69524/69697/71956/72042/72119/72948/74192/75786/75991/76441/76707/76820/83431/83679/93689/99571",121
"GO:0046034","GO:0046034","ATP metabolic process","104/5862","232/28905",0.448275862068966,2.21040835774539,9.33623361558287,2.31424868754673e-17,1.06389318236077e-15,4.24046921169277e-16,"105787/108079/110119/110935/11636/11639/11676/11717/11820/11931/11946/11947/11949/11950/11951/11957/11958/11966/12495/12628/12833/13806/13808/14555/15277/16000/16548/16889/17705/17706/17721/17722/17869/17991/17993/17995/18457/18605/18639/18640/18641/18648/18655/19017/208727/209558/209692/21428/214917/216805/21991/22040/227197/227731/228033/230075/235344/23959/270166/28080/331623/407785/433182/50799/50873/53893/54403/54405/56248/56312/56421/56490/57423/58805/66043/66046/66091/66108/66114/66218/66377/66401/66414/66437/66454/66916/66925/66945/67059/67126/67264/67273/68073/68194/68197/68202/68342/70316/72141/72900/74246/75406/78330/83429",104
"GO:0010595","GO:0010595","positive regulation of endothelial cell migration","63/5862","111/28905",0.567567567567568,2.7986251348585,9.57598636046488,3.10052730331076e-17,1.41524778185163e-15,5.64089961789348e-16,"101540/108655/11350/11600/11606/11651/11684/11745/11852/11946/11947/12159/12215/12822/13645/14164/14182/14756/14824/15289/15507/16000/16002/16416/16542/16819/18024/18591/18750/18760/19130/19141/192197/19225/19229/19878/20130/20356/20583/20692/20850/21687/21814/21825/22122/22341/230738/23797/23871/23991/240185/26397/52014/56233/64074/67916/68992/70097/74769/75723/78560/80837/93759",63
"GO:0009142","GO:0009142","nucleoside triphosphate biosynthetic process","68/5862","125/28905",0.544,2.68241555783009,9.50769538200844,3.63366525708433e-17,1.64692039398555e-15,6.56430113529615e-16,"11636/11639/11946/11947/11949/11950/11951/11957/11958/12495/13806/16889/17705/17706/17721/17722/17869/17991/17993/17995/18102/18103/19017/214917/216805/21915/22169/227197/228033/230075/23917/28080/407785/433182/50799/50873/51797/54369/54405/56248/57423/66043/66046/66091/66108/66114/66218/66377/66401/66414/66916/66925/66945/67126/67264/67273/68073/68194/68197/68202/68342/69719/70316/72900/75406/75533/78330/80914",68
"GO:0009101","GO:0009101","glycoprotein biosynthetic process","121/5862","289/28905",0.418685121107266,2.0644990490627,9.17322628976469,4.2612869126536e-17,1.91787710278591e-15,7.64428134423027e-16,"101351/102580/103963/108150/108760/109154/109785/114774/12043/12499/13135/13200/13478/14345/14348/14423/14425/14426/14537/14538/14583/14584/14595/15200/15531/16000/16168/16430/16431/16453/170441/171212/17309/18145/18795/18829/20014/20440/20442/20443/20444/20446/20447/20448/20452/20454/20652/207958/208624/212898/215494/218271/21982/22040/22235/224143/228366/228368/228875/230145/230815/233733/237500/239559/242585/244745/26433/268880/269181/27403/320011/320438/331026/380959/381903/51801/52014/52463/53625/54128/54218/54613/56175/56219/56321/56374/56737/57170/57357/57377/58250/59031/59048/59287/64294/66059/66248/66357/66435/66629/67075/67547/68059/68304/68563/69038/70377/71367/72050/72297/72727/73068/73836/74498/76483/78754/80286/93840/94192/97884/98388",121
"GO:0051656","GO:0051656","establishment of organelle localization","181/5862","498/28905",0.363453815261044,1.79215839817818,8.99386548754147,4.36053869243436e-17,1.94891854336858e-15,7.76800642796968e-16,"100502766/107338/107371/108000/108012/108907/109246/110033/110380/11776/11777/11799/11891/11920/12190/12560/12615/12631/12752/12934/13589/13605/14159/14183/14191/14389/14579/15114/15185/16190/16319/16412/16553/16572/16574/16580/16590/16800/16886/16897/16905/16907/17281/17756/17758/17760/17762/17886/17918/17919/18005/18124/18208/18226/18457/18536/18763/18817/19324/19326/19329/19339/20528/20615/20619/20877/208943/20910/20963/210998/212073/212514/212733/21335/214444/214459/21648/217325/21754/219114/22088/22142/22210/22249/223697/224092/22631/226751/226778/229521/229841/230872/233489/24015/24063/24064/245049/268697/26934/26941/26951/270058/27060/27419/27681/28040/30931/319565/319613/320165/320405/360213/381269/381293/381318/434175/50873/50907/51944/52276/52906/54141/54161/55946/56150/56418/56455/56742/57752/59005/59041/60595/64009/64383/66196/66251/66397/66442/66468/66682/66725/66934/66977/67037/67052/67064/67091/67139/67177/67299/67511/67629/67774/67839/67849/68053/68166/68428/68861/70385/72080/72114/72415/73689/73804/75687/75914/76123/76205/76464/76707/76895/77038/77097/77579/83431/83815/89867/93742/93759/94040",181
"GO:0050769","GO:0050769","positive regulation of neurogenesis","133/5862","330/28905",0.403030303030303,1.9873065351571,9.09804820407269,5.29437928811245e-17,2.34997414470978e-15,9.3665352632523e-16,"108100/109880/11421/11426/11816/12017/12064/12168/12316/12724/12767/12904/13003/13138/13385/13555/13631/13640/13649/13654/13838/13844/14025/140571/14254/14265/14268/14365/14375/14580/14634/15114/15904/16000/16193/16195/16202/16412/16542/16590/16878/16971/16975/17118/17242/17380/17760/17762/17869/17919/18011/18049/18080/18121/18208/18212/18213/18223/18481/18755/18844/18845/18846/19016/19242/19283/19317/19699/19876/20238/20312/20317/20320/20354/20356/20361/20393/20539/20666/20681/20732/20807/20845/211323/213084/216344/217715/21844/21926/22041/22341/22352/22368/224171/224617/225908/228550/232560/233064/233489/235611/23966/24001/24088/24136/243743/244667/245886/26396/27083/27279/28000/30948/319757/330914/382253/56320/56708/57434/58234/59041/66515/66713/66993/67784/68585/70237/71653/71751/74053/76901/83431/98733",133
"GO:0010959","GO:0010959","regulation of metal ion transport","162/5862","431/28905",0.375870069605568,1.85338184270709,9.00306041199334,5.644007673434e-17,2.48800228672748e-15,9.91668832022974e-16,"100503659/105722/107589/109305/109676/110213/110784/11350/11421/114774/11539/11555/11603/11606/11622/11651/116873/11735/11928/11931/11936/11941/12010/12043/12159/12288/12289/12291/12293/12295/12297/12298/12314/12322/12389/12512/12767/12805/13057/13167/13400/13617/13645/140492/14061/14065/14168/14199/14226/14360/14380/14381/14419/14467/14579/14609/14678/14681/14682/14825/15114/15512/15894/15945/16000/16170/16412/16416/16438/16453/16498/16499/16511/16518/16535/16538/16819/170756/17178/17918/17999/18049/18301/18578/18591/18596/18754/18760/18764/18795/19062/19122/192176/19225/19229/19260/19720/19736/20266/20271/20277/20312/20393/20530/20541/20544/20856/20866/20928/211482/213573/215748/216869/217154/21838/22041/22063/22337/22368/225055/234779/23796/23797/238161/238871/23967/241556/246198/26556/26557/26558/26903/26941/269587/30948/381290/432442/52076/53416/56085/56437/56461/57440/57814/57816/59091/65973/66109/66395/66894/67149/67972/68312/69047/69179/69847/72736/75607/76560/80297/83997/94045",162
