"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043542","endothelial cell migration","129/5953","237/28928",0.544303797468354,2.64498912366278,12.9436344769891,1.22189785314348e-30,7.23474610683952e-28,2.88929147858137e-28,"13645/338366/11946/20807/11651/16416/243362/15507/20351/20850/20778/13731/18750/14182/13836/80837/240185/14775/14388/11852/18709/64074/11947/23871/14164/20130/94352/381290/20401/13846/15370/13179/56233/13655/14824/11350/19130/19141/19878/21825/67916/16410/269608/13482/16600/18760/105844/79264/68328/16480/19876/108655/16000/12554/19225/12767/13642/15289/68992/20356/26397/17260/26365/22122/13197/23797/16819/22341/16412/58233/19303/19274/11600/12822/14756/18591/21926/13078/23938/11819/20684/11501/18133/12752/20583/23991/101540/11816/11745/14314/19242/74769/19016/11684/20692/69216/56048/101401/67903/70097/17886/19229/230738/54485/52014/11606/192197/67784/74144/16542/21814/20317/320736/93759/21687/12562/69601/24136/105450/12159/75723/16002/20563/18024/20672/114715/12215/78560/18613",129
"GO:0001822","kidney development","176/5953","375/28928",0.469333333333333,2.28067775351363,12.7063702411499,1.37523276220526e-30,7.46407581686907e-28,2.98087732930632e-28,"71228/12505/53421/12488/16416/12043/16372/14182/14183/71785/319757/12064/17380/21419/11421/15903/14164/17129/231214/69847/21853/110446/17527/11898/16348/12125/13841/16779/18605/83396/60595/19130/242022/67092/13617/14633/83429/18590/67087/218772/329795/14634/14537/228790/18263/18514/15201/20537/18004/209039/55978/18654/72938/71371/19876/94192/20750/12767/16449/13642/17131/15117/22420/329628/17260/407785/11475/16400/73692/74533/13388/11764/235041/544696/11504/18426/14118/16371/13838/12577/13036/22040/50791/16202/24063/17125/11600/19401/13614/22411/18591/23967/68927/71461/18763/98711/20681/66725/67703/18764/68911/244585/216560/11847/231470/20397/233651/11622/216805/18552/74025/83675/17130/12705/72135/100503085/15213/12931/114249/66277/110350/97064/70350/20666/22601/18457/14082/17075/93840/68318/12162/12161/228357/12371/12633/75691/23948/18596/13809/56350/18131/218476/11606/13618/67784/19126/266781/20317/241226/11826/12142/211401/232174/240725/21687/16776/99929/94275/14734/66398/12159/13003/14561/20563/16523/246221/12490/17869/72043/18121/15223/56198/12628/16878/16194/13653",176
"GO:0010639","negative regulation of organelle organization","181/5953","393/28928",0.460559796437659,2.23804364040796,12.5786829117712,3.82411834274881e-30,1.85451777411454e-27,7.4062618404277e-28,"20333/50918/93734/225115/11651/19017/208628/66977/66442/66591/17756/72119/14183/12649/18643/70420/14775/268697/12333/100502766/107995/22042/16800/229841/52276/56419/11740/242687/12235/17216/68014/76464/66468/18817/67629/16319/108689/11799/14745/18693/54369/56150/434175/76983/67052/21973/12236/16905/14248/26951/245886/20877/20393/15185/67886/70385/269400/19240/69710/16886/140810/70123/21754/52428/11920/16765/214444/227753/107351/329795/11518/231637/14841/13860/213556/56226/233977/225020/22059/69716/93689/20112/65970/242553/210789/67141/67846/22003/16000/76707/98956/75712/13829/385354/223601/20741/20740/13589/74729/51800/69697/105675/235041/109242/246103/75430/225288/17762/78926/243725/29877/102774/208177/219114/68339/56312/11567/26401/22137/74335/12631/23991/11739/66725/216805/12449/208084/79456/260315/216810/54126/56320/19016/78246/216869/12345/50768/50875/24088/14184/28113/18706/22601/23805/22351/170835/101185/110380/235431/12332/19062/268970/50876/12162/18645/20259/71943/69076/13609/52184/12562/58234/68943/14168/12159/74919/50874/74694/68041/20563/20742/666244/14371/50873/13982/213027/16878/17318/63985/11856/18613",181
"GO:0072001","renal system development","180/5953","390/28928",0.461538461538462,2.24279936425073,12.5780535151757,3.98637322855882e-30,1.85451777411454e-27,7.4062618404277e-28,"71228/12505/53421/12488/16416/12043/16372/14182/14183/71785/319757/76260/12064/17380/21419/11421/15903/14164/17129/231214/69847/21853/110446/17527/11898/16348/12125/13841/230103/16779/18605/83396/60595/19130/242022/67092/13617/14633/83429/18590/67087/218772/329795/14634/14537/228790/18263/18514/15201/20537/18004/209039/55978/18654/72938/71371/19876/94192/20750/12767/16449/13642/17131/15117/22420/329628/17260/407785/11475/16400/73692/74533/13388/11764/235041/544696/11504/18426/14118/16371/13838/12826/12577/13036/22040/50791/16202/24063/17125/11600/19401/13614/22411/18591/23967/68927/71461/18763/98711/20681/66725/67703/18764/68911/244585/216560/11847/231470/20397/233651/11622/216805/18552/74025/83675/17130/12705/72135/100503085/15213/12931/114249/66277/110350/97064/70350/20666/22601/18457/14082/17075/93840/68318/12162/12161/228357/12371/12633/75691/23948/18596/13809/56350/18131/218476/11606/13618/67784/19126/266781/20317/241226/11826/12142/211401/232174/240725/21687/16776/99929/94275/14734/66398/12159/13003/14561/20563/14013/16523/246221/12490/17869/72043/18121/15223/56198/12628/16878/16194/13653",180
"GO:0031346","positive regulation of cell projection organization","205/5953","471/28928",0.435244161358811,2.115024878177,12.419163167477,7.8928766966368e-30,3.4270870616797e-27,1.36865251350102e-27,"23790/224617/54198/233489/16398/20807/232906/15507/18481/19283/260409/20312/18080/14182/18643/103199/12064/18103/140571/242687/353047/16001/70300/18102/24001/235611/329165/14159/27279/74053/14063/13640/245886/52163/20393/19735/13385/52513/15185/70237/14824/230872/11350/69710/228550/98733/72844/140810/68743/16570/59041/23854/66573/109905/329795/18846/211323/215445/107746/20698/68750/13860/56226/26564/235442/12801/18213/109880/18760/20361/244058/55978/192176/14025/19876/70620/17919/108672/18010/234776/193385/382253/385354/20354/18483/108100/22240/20311/20356/16400/71951/26396/12904/18829/108686/22368/14362/11785/319974/11504/17762/13631/16438/18214/243725/16819/16975/102774/16412/13838/18049/104215/71653/14360/14226/50791/13803/16202/11567/103742/67425/18223/23964/216363/234593/12805/71461/14086/16971/11426/12631/75974/11816/213084/19385/17005/17242/19699/22359/208727/20320/623781/19242/66515/17760/56320/11352/52906/232560/18844/18212/19317/12168/18011/98845/12305/18003/13844/16590/18546/14348/11603/18208/12162/214459/216344/12633/19229/243743/16193/217715/11606/107765/67784/17118/20317/14265/11826/66713/227541/380713/93759/216166/18845/69601/24136/20266/83431/56455/12159/20713/12808/244667/18761/18024/67998/15114/71751/14268/16878/330914/192212/17427/21648/21844",205
"GO:1901987","regulation of cell cycle phase transition","205/5953","475/28928",0.431578947368421,2.09721414236077,12.2734327879311,3.11850538240082e-29,1.26942659722354e-26,5.06962289467923e-27,"269582/208643/12530/11651/12043/77011/208628/56460/19361/66977/66442/20878/12696/20460/66591/27214/12534/67849/12649/268697/381293/107995/12189/229841/68612/52276/56419/13555/12235/12576/68014/211651/76464/26427/66468/12144/18817/68077/18795/381290/12532/67629/16319/11799/56150/434175/67052/12055/108000/21853/327762/12236/74268/26951/20877/70385/19650/11820/19130/235559/20133/67177/57376/20135/15468/11792/28114/237877/11920/17829/65964/214444/72772/14841/20913/194655/23834/18514/71733/16600/241627/19247/13871/22059/18004/69716/72611/226419/381979/67141/19367/102423/229776/19054/76843/12021/69274/11787/240087/66993/18392/330177/69188/60364/28000/14451/80280/18767/106052/13649/14155/225372/74729/235041/227331/268930/68145/52679/11785/75430/17246/210766/11504/218793/18214/21385/12444/18426/14726/219114/77065/72993/268465/12577/22040/12298/66156/12571/27375/22061/15512/12914/11477/19192/21752/22137/74335/100683/71375/18763/18764/433938/56190/12034/234779/193838/14199/18647/15586/67941/69109/225182/12192/12753/50875/16323/83796/12054/66209/70601/270669/59036/52040/216190/12575/12190/231803/71007/83383/15270/72776/218294/54601/216166/67153/54624/233805/24108/110957/237459/13205/12448/30963/72008/19891/12122/18557/18761/54394/67155/68067/13924/14632/234736/12443",205
"GO:0006163","purine nucleotide metabolic process","199/5953","456/28928",0.43640350877193,2.12065860939936,12.2783114318612,3.55765768646587e-29,1.36300144187954e-26,5.44332640449361e-27,"11941/100705/18641/11946/14544/54405/23917/12409/227197/19017/56524/17449/433182/18104/28080/242202/11512/105787/13836/17706/13806/19883/17705/110208/18103/11947/72141/21428/11951/228033/18102/11486/15254/54369/269951/432530/27369/23962/17995/12495/56217/66046/15277/230103/18563/18655/12457/227731/18605/21881/15926/11820/67264/50773/11637/17721/19335/270166/235344/22436/60530/16828/108079/83429/68197/66646/75686/14148/11950/110119/17436/67126/223646/66108/237823/56421/14555/22059/74246/23972/66043/230075/78330/16000/209558/14261/14381/11564/66945/74637/11676/14380/70316/104111/11958/68202/54195/93685/67273/17722/107747/16889/66916/67763/66218/407785/75406/66454/21991/23959/18585/75533/104215/56312/67464/11957/22040/12298/29863/12833/78373/18648/67059/11636/15511/58805/207728/57423/192185/17991/13178/20928/66091/15483/66725/56248/60596/72900/54403/66171/21351/216805/53893/208727/14913/381101/18640/110935/13808/18160/231327/16498/17993/68342/18457/14198/11931/56490/331623/11949/58242/17969/209692/66377/11966/11515/14149/66925/50799/66401/71336/66437/218756/214917/11717/68194/102954/238871/110385/66114/68073/18639/16548/67993/66414/50493/17970/104110/17869/11639/54683/229665/14263/50873/72175/170768/12628/225994/66355",199
"GO:0032956","regulation of actin cytoskeleton organization","170/5953","366/28928",0.46448087431694,2.25709772085342,12.3198991670828,6.31626306581446e-29,2.28543451931387e-26,9.12718481615645e-27,"12488/13835/50918/225115/16416/232906/207278/22323/12632/30948/18484/18481/260409/20312/18643/70420/234094/76820/12333/13605/76260/18709/66898/242687/14219/20194/19720/14745/18693/11853/20401/101497/329165/14248/14063/13640/18754/13043/11350/56431/21333/170643/19130/19240/69710/76932/19878/21754/73205/52428/16765/227753/107351/11518/50490/231637/13860/213556/109880/11854/18760/233977/93689/192176/104027/65970/544963/213649/242553/22003/118449/76707/13829/385354/223601/108100/20741/20740/20356/17260/18829/108686/235041/225288/14609/432995/243725/218952/93897/102774/18016/208177/319262/30794/74192/19303/68606/16202/11567/13614/22411/19877/26401/53972/14086/16971/12631/434204/442801/74194/623781/56320/12345/50768/13717/50875/24088/18003/18706/19736/22351/216831/110380/235431/93840/12332/12614/19062/268970/114229/50876/268396/20301/268747/18645/15162/56441/69524/20259/277360/17886/19229/18596/69550/17974/192197/15894/72042/211401/13609/12985/12569/106952/58234/12182/50874/20563/20742/14191/18761/666244/223881/23912/50873/15163/63985/170758/11856/18613/76441",170
"GO:0072522","purine-containing compound biosynthetic process","131/5953","252/28928",0.51984126984127,2.5261159506078,12.3856953955826,1.78801713669682e-28,6.12913453226652e-26,2.44775088353343e-26,"68263/104112/100705/235339/54325/107476/55951/60525/14081/11946/54405/23917/227197/270076/68801/17850/433182/70456/28080/27402/11512/13382/18597/17706/13806/17705/12041/18103/11947/170439/11951/228033/18102/11486/54369/269951/432530/27369/23962/110446/211347/17995/12495/66046/230103/67264/11637/17721/73132/68197/74559/11950/236900/67126/223646/66108/237823/23972/66043/230075/68738/228026/78330/14381/11564/66945/70316/104111/20750/11958/68202/54195/67273/17722/16889/18604/66916/67763/66218/407785/75406/66454/66681/27273/23959/75533/11957/50790/11636/57423/71743/192185/17991/83603/13178/66091/70025/56248/60596/72900/14913/18160/231327/17993/68342/56690/75735/11949/66377/11515/106564/66925/50799/20425/66401/218756/214917/11717/68194/66114/64451/68073/66414/29807/104110/17869/11639/229665/50873/225994/66355",131
"GO:0042060","wound healing","177/5953","394/28928",0.449238578680203,2.18302933043187,12.0352238831679,6.68742491637532e-28,2.17775992401762e-25,8.69717208861233e-26,"14456/338366/12505/105722/71853/20807/16416/232906/228413/99439/22433/14067/20312/18750/69071/72736/14775/109620/14595/12306/18810/64074/12389/223650/14164/16402/20194/76905/11853/20910/11747/27279/14063/26903/12495/18754/21857/30931/230103/19339/16687/71753/21825/12798/67916/16410/18590/12369/18792/107351/211323/68750/16475/84004/20278/192176/23972/22174/213649/12491/22003/16000/20277/14230/21682/76707/13829/12767/15200/12740/15289/19091/11891/241639/74012/223701/13052/107589/16440/235505/69605/26362/26365/224794/59048/21898/14369/18214/218952/93742/16412/208177/80748/14726/19414/18018/54525/13713/12737/99571/12173/231532/18591/14065/26401/21926/20597/19128/71461/11426/76509/20583/260299/11816/12496/21824/14723/208936/12476/13805/13138/12739/14682/74769/19016/68465/109246/11684/20443/216350/12305/214593/77579/22371/13844/73379/13518/235627/22601/73182/18457/27359/20963/14061/93840/12614/20296/12575/12633/17886/16193/14069/26570/21789/16542/12831/11826/18791/54357/12258/14724/14066/21788/18761/12490/18024/229521/18121/19041/14114/14268/12628/14027/16194/20344/67064/18613",177
