"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of other amino acids","mmu00450","Selenocompound metabolism - Mus musculus (house mouse)","13/2766","17/9709",0.764705882352941,2.68421164561269,4.38663816748693,5.60555809010297e-05,0.000497124493780184,0.000279501511417877,"216443/23972/212679/214580/229905/50880/232223/26462/211006/70266/50493/20768/107869",13
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome - Mus musculus (house mouse)","42/2766","87/9709",0.482758620689655,1.69454209988281,4.10717222958371,6.83071664501414e-05,0.000590243976761478,0.000331856679109999,"14081/93734/74147/68603/74043/20656/19301/59038/330450/269951/17527/234384/74114/20655/15926/12908/22436/72129/51798/70503/11430/18631/56794/11666/93732/668173/19300/50790/19193/19302/18633/208982/110959/15356/13850/111175/69129/56690/212503/20524/67993/54683",42
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","53/2766","118/9709",0.449152542372881,1.57658063409194,3.97728304352954,9.69354917618234e-05,0.000816681518093362,0.000459168118871795,"11651/231991/17387/20312/16168/18709/12367/14825/26427/257632/330122/16182/15953/12369/20310/72542/74568/19225/16449/217344/78284/20311/20297/26397/23797/22341/12370/22029/13614/21926/22033/18033/74769/11796/21929/53859/22329/18706/26399/14082/20296/12633/16193/14102/15894/12702/69601/20339/19094/15945/19766/16878/26415",53
"Organismal Systems","Endocrine system","mmu04928","Parathyroid hormone synthesis, secretion and action - Mus musculus (house mouse)","52/2766","116/9709",0.448275862068966,1.57350337846261,3.92197789980332,0.000119507206596678,0.000982290942026351,0.000552279773745879,"12043/231991/17387/18750/14182/11512/22337/14672/26427/14673/18795/69847/432530/20531/20393/12393/18752/18578/16801/109880/16973/16439/26941/104111/15200/18749/78284/13649/17260/16440/16438/14678/53416/110157/18227/14682/16478/216869/18805/75607/17391/12575/23948/17389/11515/240047/17258/238871/110385/104110/12095/13653",52
"Organismal Systems","Immune system","mmu04670","Leukocyte transendothelial migration - Mus musculus (house mouse)","53/2766","119/9709",0.445378151260504,1.56333205733486,3.90252804169714,0.000126972557897184,0.00101880361931788,0.000572808531866998,"232906/22323/18750/67268/18709/22330/11855/67374/18752/60595/19878/109905/53624/19247/12385/54354/20469/58187/12767/56508/109711/12740/18260/98932/54420/16412/17698/14678/13057/19303/12737/19877/57257/234779/12739/74769/22329/18706/21838/60363/17969/69524/19229/15894/12562/17970/54419/19094/17390/171486/26415/18613/12741",53
"Human Diseases","Cardiovascular disease","mmu05410","Hypertrophic cardiomyopathy - Mus musculus (house mouse)","46/2766","100/9709",0.46,1.61465654374548,3.89951685599922,0.000137607431317233,0.00106664859653023,0.000599708722084779,"16398/16416/13527/108097/12297/105787/11421/16402/320910/16905/20649/326618/16651/20650/108079/16410/110891/16404/22003/16000/11938/16399/22004/16400/13726/16412/12293/12298/104099/12295/13614/21926/109700/12289/13138/20541/24051/12288/16193/11606/241226/53313/16772/20392/192897/13346",46
"Metabolism","Carbohydrate metabolism","mmu00640","Propanoate metabolism - Mus musculus (house mouse)","19/2766","31/9709",0.612903225806452,2.15136566137196,4.05245965570812,0.000139265692128576,0.00106664859653023,0.000599708722084779,"100705/107476/60525/74147/17850/13382/52665/93747/110821/13171/16828/66904/68738/12039/11430/20917/56451/268860/56690",19
"Metabolism","Glycan biosynthesis and metabolism","mmu00513","Various types of N-glycan biosynthesis - Mus musculus (house mouse)","24/2766","43/9709",0.558139534883721,1.95913837461535,3.97840954977958,0.000152794179280975,0.00114425863150419,0.000643343912761999,"66357/13135/13200/17155/15212/20014/103963/14595/16430/207958/67075/102580/69038/330671/56737/15211/330406/208624/230815/80286/71367/269181/53418/320302",24
"Environmental Information Processing","Signal transduction","mmu04022","cGMP-PKG signaling pathway - Mus musculus (house mouse)","71/2766","172/9709",0.412790697674419,1.44894608955927,3.74947026947596,0.000192920556607395,0.00141231416450287,0.000794054504483889,"11941/18019/20807/11651/231991/22323/242202/11512/11740/14672/26427/14673/18795/381290/432530/18754/19735/230103/13617/19878/16531/11936/110891/16439/17931/14886/234889/11938/104111/54195/19091/78284/98932/17260/107589/16440/26396/17540/105675/23797/16438/14678/11549/18018/110157/19877/73181/67972/207728/11739/60596/12289/19045/14682/20541/18160/11928/11555/11931/11539/54611/12288/11515/13618/17258/12314/53313/70405/104110/16523/384783",71
"Environmental Information Processing","Signal transduction","mmu04392","Hippo signaling pathway - multiple species - Mus musculus (house mouse)","17/2766","27/9709",0.62962962962963,2.21007739482071,3.97401845929889,0.000196969631251143,0.00141231416450287,0.000794054504483889,"232157/213391/50523/21678/319710/16475/101543/329628/21676/73246/18016/233651/21677/97064/22601/215653/21679",17
