"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"237943",872.286181699437,0.569199270129194,0.110319209768095,5.15956623806245,2.47522641170165e-07,1.1949731187444e-06
"11982",191.570114733043,6.4649779776002,1.25325359995646,5.15855528188772,2.48862632206006e-07,1.20101739899136e-06
"100041120",484.351536433494,-1.23378655945494,0.239194120841223,-5.15809734418149,2.4947191798402e-07,1.20353225049343e-06
"69019",1493.95030425948,-0.688604535489002,0.133503274612826,-5.15795988889433,2.49655083151605e-07,1.20399030913538e-06
"71924",43.6897984995084,-3.26308784990671,0.632968877893939,-5.15521057016878,2.53346073447999e-07,1.22135895811313e-06
"68499",332.626955102936,-1.9922762287519,0.38654578306255,-5.15404983328848,2.5492015101281e-07,1.22851349612388e-06
"20163",2464.73647185323,3.79199235371601,0.735746829054292,5.15393638677333,2.55074501857513e-07,1.22882343852854e-06
"50785",3355.259885532,-0.844951583878178,0.163956240805567,-5.15351888849533,2.55643311328548e-07,1.23093033366536e-06
"16008",9167.95990141317,9.2719320905844,1.79915836343804,5.15348302795675,2.55692225669791e-07,1.23093033366536e-06
"14451",5070.64667833831,7.69217564857331,1.49281201970637,5.15280929348784,2.56612892370257e-07,1.2349269235082e-06
"76800",542.108126071375,1.29010612707174,0.250402391151904,5.1521318192569,2.57541897994852e-07,1.23896081206688e-06
"114601",2541.14536186565,3.54630319947581,0.688340632344463,5.15195970256359,2.57778434883196e-07,1.23934277883511e-06
"70967",172.944167581954,7.37751436415989,1.4319871045138,5.15194190010862,2.57802912449655e-07,1.23934277883511e-06
"217030",447.075245409641,-1.91169287265936,0.37110815980369,-5.15130918616991,2.58674324697886e-07,1.24309407868899e-06
"56013",381.104685998367,-6.45517540466515,1.2534031555353,-5.15011899894915,2.60321239142474e-07,1.25056820549682e-06
"71675",465.068309310327,-1.26384402582574,0.245492158045471,-5.14820528642565,2.62990583271884e-07,1.26294703747173e-06
"216892",3001.79485807564,-5.44683242924052,1.0581566867102,-5.14747248460405,2.64019716786716e-07,1.26744322712103e-06
"71435",3444.17738789225,0.971113898776807,0.188719937689599,5.1457938714142,2.66391812030121e-07,1.27838096012204e-06
"629595",1253.44871785768,-0.709963622766739,0.137972176824732,-5.14570139506181,2.66523089454046e-07,1.27856137956725e-06
"18749",1529.93725192947,1.89412191773672,0.368126577226456,5.14530065176883,2.67092698385382e-07,1.28084369204627e-06
"78284",87.2296038564375,1.61338889061915,0.313569670720049,5.14523259508592,2.67189549589966e-07,1.28085808668909e-06
"22240",1563.10039592231,8.13244584363748,1.58071271893112,5.14479686678085,2.67810437155497e-07,1.28338372412157e-06
"14991",87.5642686029598,2.89056470075553,0.562007633531461,5.14328369988895,2.69977453251078e-07,1.29331424428596e-06
"213573",1492.97033661847,-4.31676078512043,0.839387763081602,-5.142749245322,2.70746888663512e-07,1.29650462921191e-06
"192200",510.20507598444,-10.7431905002305,2.08902191733626,-5.14268922268145,2.70833433315002e-07,1.29650462921191e-06
"22021",814.364905776561,6.33222899502747,1.23190106352406,5.14020904967243,2.74432967462912e-07,1.31327529450695e-06
"74370",975.925979007275,-0.850395515911817,0.16549530813622,-5.13848716008223,2.76959114318835e-07,1.32450535164023e-06
"76406",29.2673598070534,4.72712138524441,0.919945968358671,5.13847720174082,2.76973789095926e-07,1.32450535164023e-06
"74761",129.368144064459,1.66205831517821,0.323467806224584,5.13824956671034,2.77309440699833e-07,1.32564597081307e-06
"66395",39567.9206836306,2.65344632005784,0.516436822769761,5.13798823605729,2.77695261429489e-07,1.32702553501039e-06
"100503884",158.444517719675,-5.87563895250419,1.14363568374746,-5.13768417338197,2.78144822954504e-07,1.32866637699651e-06
"11891",1135.27047008096,5.75300789312193,1.11977978203342,5.13762436635083,2.78233331290741e-07,1.32866637699651e-06
"268935",760.451419985588,8.71532522095877,1.69660462789467,5.13692175399385,2.79275165193653e-07,1.33317504531758e-06
"192663",50.7983595468284,4.52983390485661,0.881842132643277,5.13678552790244,2.79477596884988e-07,1.33367490989032e-06
